train_loss_discriminator,train_loss_generator,val_loss
0.6939159966586681,0.759550087237626,0.0015796896303072571
0.6939763989341393,0.760605245493771,0.0013671473832800984
0.6941618082228671,0.7631276551257359,0.00194418472237885
0.694027701120698,0.7633602324496495,0.0015266392147168517
0.6942283404007387,0.7630228487293372,0.001543973130173981
0.6953482962726207,0.7658836111593782,0.0018208317924290895
0.695891864514083,0.7638219869538639,0.0016430153278633951
0.6950016443649035,0.7657124098767055,0.0016094639664515852
0.6943403616380156,0.7636074638098813,0.0015037327539175749
0.6941755427403397,0.7672742960158359,0.0017392409965395928
0.6940488681364595,0.7642601313215963,0.001894435565918684
0.6939393924863151,0.7631763594873836,0.001700175739824772
0.6936842022317179,0.7621227107690961,0.0015428380109369754
0.6936068320542239,0.7618644277701218,0.0016928817378357053
0.6935962217577388,0.7622842118981179,0.0016405644826591014
0.6936795959311924,0.7620566279700632,0.0014992523472756147
0.6935947088713057,0.763511507028944,0.001873351214453578
0.6935734454165684,0.7639919043926711,0.0015702301869168877
0.6936279629053694,0.7608339150300186,0.0016047340119257568
0.6936622549978535,0.7586626296632746,0.001764871389605105
0.6936708608370149,0.7609906692183419,0.0016581767238676548
0.6935899130414042,0.7609939749321241,0.0016829498810693622
0.6938998772856895,0.7620270694239756,0.0017607593908905983
0.6938862988118375,0.7625017996584431,0.0016334939282387495
0.693801669592268,0.7583126318588685,0.0015633774222806097
0.6942466691638647,0.7580498932452684,0.001809091935865581
0.6943255361546291,0.7649736839733766,0.001733959629200399
0.6940637250964561,0.7592195901977882,0.00175051165279001
0.694516085506825,0.7606531549035833,0.0015442040050402284
0.6948411893308832,0.7553448911463276,0.0017636198550462722
0.6949578228961216,0.760717102650846,0.0019788322504609825
0.6947854047410944,0.7644958502790901,0.0016497835284098982
0.6943792305635602,0.7604579758108332,0.0016948577482253312
0.6942699578370941,0.7566243430201927,0.0016030212631449104
0.6942114066541865,0.7534101196889127,0.0018663185881450772
0.6938157282518537,0.7596140403426095,0.0015940506011247635
0.6937486750356266,0.7614830437670933,0.0016448680078610777
0.693762603770481,0.7597402702556567,0.001944181858561933
